Generation 0 - Individual Bot Performance
==================================================
Format: BotID | Profit% | WinRate | Trades | FinalBalance | Fitness | Sharpe | MaxDD | SurvivedGens
   200 |   -1.54% |  16.67% |      6 | $     98.46 |    0.96 |  -0.31 |  1.85% |   0
   201 |  -11.92% |  22.78% |   2805 | $     88.08 |   -9.83 |  -0.44 | 27.06% |   0
   202 |  -94.31% |  45.00% |     20 | $      5.69 |  807.78 |  -1.00 | 94.62% |   0
   203 |  -14.21% |  25.25% |   1830 | $     85.79 |  -32.36 |  -0.22 | 64.28% |   0
   204 |   +0.03% |  27.27% |     11 | $    100.03 |   29.67 |   0.01 |  0.70% |   0
   205 |   +0.00% |   0.00% |      0 | $    100.00 |    0.00 |   0.00 |  0.00% |   0
   206 |   +5.25% |  49.15% |   1001 | $    105.25 |   12.76 |   0.55 |  9.49% |   0
   207 |   -2.14% |  26.45% |   1036 | $     97.86 |   17.68 |  -0.43 |  3.14% |   0
   208 | -100.00% |  61.85% |    346 | $      0.00 | -155.31 |  -0.72 | 139.31% |   0
   209 |   -0.98% |  22.22% |      9 | $     99.02 |    9.07 |  -0.13 |  7.26% |   0
   210 |   +0.00% |  66.67% |      6 | $    100.00 |    4.44 |   0.00 |  7.78% |   0
   211 |  -87.34% |  24.93% |  13984 | $     12.66 |  239.15 |  -0.97 | 90.09% |   0
   212 |   -6.68% |  38.30% |     47 | $     93.32 |  167.11 |  -0.28 | 24.14% |   0
   213 |  -87.06% |  21.19% |   6096 | $     12.94 | -111.58 |  -0.96 | 90.32% |   0
   214 |  -90.02% |  20.79% |   6290 | $      9.98 | -110.16 |  -1.00 | 90.40% |   0
   215 |   +0.00% |   0.00% |      0 | $    100.00 |    0.00 |   0.00 |  0.00% |   0
   216 |  -44.17% |  18.21% |   2411 | $     55.83 | -119.17 |  -0.25 | 180.13% |   0
   217 |   -1.42% |   0.00% |     12 | $     98.58 |    2.51 |  -0.28 |  2.13% |   0
   218 |   +0.00% |  66.67% |      3 | $    100.00 | 9988.33 |   0.00 | 20.01% |   0
   219 |  -33.25% |  14.70% |   5080 | $     66.75 |  -89.65 |  -0.28 | 116.89% |   0
   220 |   +4.32% |  25.00% |     12 | $    104.32 | 9993.54 |   0.86 |  1.57% |   0
   221 |   +0.00% |   0.00% |      0 | $    100.00 |    0.00 |   0.00 |  0.00% |   0
   222 |  -82.43% |  16.70% |   9160 | $     17.57 | -125.35 |  -0.91 | 90.12% |   0
   223 |  -23.71% |  27.05% |   1597 | $     76.29 |  -40.39 |  -0.28 | 85.83% |   0
   224 |   +0.00% |   0.00% |      0 | $    100.00 |    0.00 |   0.00 |  0.00% |   0
   225 |  -90.18% |  21.03% |   9463 | $      9.82 |  -29.89 |  -1.00 | 90.18% |   0
   226 |   -0.87% |  49.72% |    537 | $     99.13 |    1.59 |  -0.16 |  5.40% |   0
   227 |  -27.86% |  22.08% |   2169 | $     72.14 |  -22.63 |  -0.54 | 52.07% |   0
