bar,open,high,low,close,volume,gpu_value,cpu_value,diff
987,83898.4,83898.4,83725.7,83767.8,7933.0,205.99219,116.59375,89.39844
988,83769.1,83833.8,83644.4,83698.6,9021.0,-219.29688,53.710938,273.0078
989,83698.6,83698.6,83592.7,83631.9,7309.0,-88.80469,2.4921875,91.296875
990,83628.6,83711.6,83506.1,83646.8,14344.0,46.90625,81.60156,34.695312
991,83640.5,83826.1,83518.1,83826.1,13397.0,-213.89844,164.40625,378.3047
992,83826.2,83863.0,83730.3,83806.9,14159.0,-141.90625,-198.50781,56.601562
993,83793.4,83807.0,83529.3,83542.8,39490.0,161.39844,-244.89844,406.29688
994,83541.2,83617.5,83335.1,83363.5,30566.0,-550.8906,84.80469,635.6953
995,83364.5,83410.2,83294.4,83322.6,14210.0,325.6953,138.39844,187.29688
996,83329.0,83414.6,83195.0,83211.9,12244.0,-420.3047,-69.80469,350.5
997,83211.9,83284.2,83062.6,83228.9,68510.0,152.0,127.703125,24.296875
998,83244.1,83284.0,83121.4,83169.0,11905.0,415.60156,-76.89844,492.5
999,83175.6,83183.9,82916.8,82937.8,19501.0,4.3046875,-171.30469,175.60938
1000,82925.6,82963.6,82843.7,82875.6,29655.0,317.6953,169.00781,148.6875
1001,82876.6,83021.4,82870.1,82967.0,8328.0,145.20312,153.59375,8.390625
1002,82972.2,83028.8,82784.3,82884.9,14024.0,796.2969,-173.5,969.7969
1003,82870.4,83052.6,82846.0,83030.4,9470.0,157.00781,227.60156,70.59375
1004,83030.4,83299.0,83030.4,83225.5,16092.0,95.1875,49.601562,45.585938
1005,83225.5,83375.9,83118.9,83354.1,17205.0,-180.09375,-66.5,113.59375
1006,83346.1,83366.1,83235.0,83327.7,13563.0,654.89844,-155.0,809.89844
1007,83327.7,83387.0,83234.4,83319.0,10598.0,-52.796875,17.695312,70.49219
